name,recipe_id
1/2 teaspoon ground pepper,16
"2 baking potatoes (about 1 1/4 pounds), peeled",16
"10 ounces sugar-baked ham, thinly sliced (less than 1/4 inch thick)",16
"1 package (10 ounces) frozen broccoli, thawed and squeezed dry with paper towels",16
1/2 cup grated cheddar cheese (2 ounces),16
"8 ounces strawberries, hulled and halved (quartered if large)",17
"8 ounces rhubarb, trimmed, cut into 1/2-inch pieces",17
1/2 cup raw sugar,17
1 tablespoon cornstarch,17
1/4 teaspoon coarse salt,17
1 cup rolled oats,17
1/4 cup all-purpose flour,17
"1/4 cup unsalted butter (1/2 stick), melted",17
1/4 cup brown sugar,17
1/8 teaspoon coarse salt,17
"Fresh basil leaves, torn if large",17
3 tablespoons butter,18
"4 skinless, boneless chicken breast halves",18
2 teaspoons garlic powder,18
1 teaspoon seasoning salt,18
1 teaspoon onion powder,18
Coarse salt and ground pepper,19
1 pound linguine,19
1 teaspoon extra-virgin olive oil,19
"2 shallots, minced",19
1 cup heavy cream,19
"1 teaspoon grated lemon zest, plus 2 tablespoons lemon juice (from 1 lemon)",19
Coarse salt and ground pepper,20
2 ounces linguine (about a 1/2-inch-wide handful),20
"1 tablespoon cold butter, cut into pieces",20
"1 garlic clove, minced",20
Red-pepper flakes,20
1/3 cup dry white wine,20
"1/4 pound large shrimp, peeled and deveined",20
1/2 teaspoon fresh lemon juice,20
"Fresh parsley leaves, for garnish",20
12 ounces linguine,21
"12 ounces cherry or grape tomatoes, halved or quartered if large",21
"1 onion, thinly sliced (about 2 cups)",21
"4 cloves garlic, thinly sliced",21
1/2 teaspoon red-pepper flakes,21
"2 sprigs basil, plus torn leaves for garnish",21
"2 tablespoons extra-virgin olive oil, plus more for serving",21
Coarse salt and freshly ground pepper,21
4 1/2 cups water,21
"Freshly grated Parmesan cheese, for serving",21
1 tablespoon extra-virgin olive oil,22
"1 large shallot, minced",22
1/4 cup red-wine vinegar,22
1/4 cup whole-grain mustard,22
1/4 cup packed dark-brown sugar,22
Coarse salt and ground pepper,22
"1 side salmon (about 3 pounds), skin removed, cut into 8 fillets",22
"1 bunch watercress (about 3/4 pound), thick stems trimmed",22
"1 lemon, cut into wedges, for serving",22
2 tablespoons extra-virgin olive oil,23
1 tablespoon fresh lemon juice,23
2 teaspoons whole-grain mustard,23
Coarse salt and ground black pepper,23
"1 bulb fennel, cored and thinly sliced, plus 1/4 cup fronds",23
"5 radishes, thinly sliced",23
3 tablespoons freshly shaved Parmesan,23
"4 tablespoons unsalted butter, plus more for toast",24
1/4 cup unbleached all-purpose flour,24
3 cups whole milk,24
Kosher salt and freshly ground pepper,24
6 peeled hard-boiled eggs,24
6 slices white sandwich bread,24
"Chopped chives and smoked paprika, for serving",24
